source,target,distance
1762,1675,338.46664
1675,1070,41.714596
336,642,57.36807
345,1186,255.41034
1186,334,229.71196
334,668,151.40942
172,1939,41.881393
606,330,116.98046
551,735,315.17508
735,551,315.17508
598,1887,47.40484
1682,876,351.8333
1449,902,76.1778
907,1828,57.486813
1828,907,57.48681
1828,1749,233.24915
1749,1828,233.24913
1749,211,45.964954
211,1749,45.964954
211,203,38.897995
203,211,38.897995
203,1746,41.40997
1746,203,41.40997
1746,1732,49.161
1732,1746,49.161
1732,1769,113.08939
1769,1732,113.0894
1438,1176,12.34926
1176,1897,92.09358
1897,1435,105.02768
1435,491,290.89627
383,274,243.62267
1675,56,118.70303
56,1675,118.70303
56,58,35.006115
58,56,35.006115
58,1032,80.55715
1032,58,80.55715
1032,685,131.6329
685,1032,131.6329
685,254,62.498154
254,685,62.498154
254,1073,155.72646
1073,254,155.72646
1073,333,126.68046
333,1073,126.680466
1028,1590,56.54939
1590,1028,56.54939
1590,1075,31.255375
1075,1590,31.255375
1075,1069,73.70983
1069,1075,73.70983
1069,1074,49.477463
1074,1069,49.477463
1074,1204,60.46651
1204,1074,60.46651
1204,1029,48.352295
1029,1204,48.352295
422,111,46.207813
111,422,46.20781
422,710,132.42522
710,422,132.42522
370,331,98.38984
331,370,98.38984
331,1664,65.744
1664,331,65.744
1664,1733,60.348747
1733,1664,60.348747
1733,1348,45.430344
1348,1733,45.430344
1348,1614,49.474834
1614,1348,49.474834
1614,1860,64.15273
1860,1614,64.15273
1860,1610,28.994656
1610,1860,28.994656
1403,39,172.4174
1889,1392,185.73082
1392,1184,162.92801
1184,1774,325.24408
946,1375,12.393535
1375,946,12.393535
1375,403,85.88944
403,1375,85.88944
403,376,23.560663
376,403,23.560663
1751,1004,53.681282
1004,1751,53.681282
1004,1737,7.250218
1737,1004,7.250218
1737,401,59.338623
401,1737,59.338623
401,392,42.94328
392,401,42.94328
392,400,60.333733
400,392,60.333733
400,1754,47.822086
1754,400,47.822083
1754,1748,50.553658
1748,1754,50.553658
360,359,89.20002
359,360,89.20002
359,411,55.28309
411,359,55.28309
1515,170,455.1198
170,829,230.75606
566,378,108.47762
378,566,108.477615
378,1369,72.77111
1369,378,72.77111
1369,1368,12.571762
1368,1369,12.571762
1368,376,33.70264
376,1368,33.70264
939,1135,74.08058
1135,939,74.08058
1135,304,72.26881
304,1135,72.26881
304,380,115.547874
380,304,115.547874
381,1173,86.61838
1173,381,86.61838
1173,1150,71.808266
1150,1173,71.808266
1150,937,130.6185
937,1150,130.6185
1254,1303,68.64266
1303,1254,68.64266
1303,677,47.218834
677,1303,47.218834
677,1318,147.4053
1318,677,147.4053
1610,1254,51.365345
1254,1610,51.365345
1254,1037,12.258365
1037,1254,12.258365
1037,1281,60.80842
1281,1037,60.80842
1281,1041,70.32996
1041,1281,70.32996
1041,678,117.680565
678,1041,117.680565
678,723,247.01132
723,678,247.01132
1281,1317,78.37283
1317,1281,78.37283
1317,1318,85.46301
1318,1317,85.463005
1318,691,142.2185
691,1318,142.2185
904,899,80.83463
899,904,80.83463
362,392,84.69806
392,362,84.69806
331,1750,41.586018
1750,331,41.586018
1750,1307,53.592037
1307,1750,53.592037
304,391,75.11026
391,304,75.11026
401,1131,42.45981
1131,401,42.45981
1131,403,48.625885
403,1131,48.625885
357,429,97.091934
429,357,97.091934
400,1130,38.413277
1130,400,38.413277
1130,359,38.99672
359,1130,38.99672
1765,604,36.816616
604,1765,36.816616
604,1759,82.37544
1759,604,82.37544
1759,600,94.3281
600,1759,94.3281
1819,1858,50.909496
1858,1819,50.909496
1858,1765,41.376583
1765,1858,41.376583
1765,1190,5.279619
1190,1765,5.279619
1190,1857,70.60106
1857,1190,70.60106
677,1317,63.16899
1317,677,63.16899
938,937,30.606976
937,938,30.606976
1697,395,128.8116
395,1697,128.8116
480,430,90.64881
430,480,90.64881
440,412,92.60307
412,440,92.60307
397,438,30.180998
438,397,30.180998
438,412,47.254047
412,438,47.254047
412,472,83.03776
472,412,83.03776
1828,830,99.295876
830,1828,99.295876
830,421,44.569893
421,830,44.569893
421,990,49.021137
990,421,49.021137
990,393,4.3889794
393,990,4.3889794
1049,430,101.10984
430,1049,101.10984
430,395,56.75344
395,430,56.75344
395,397,54.322304
397,395,54.322304
397,377,101.54174
377,397,101.54174
977,377,75.01145
377,977,75.01145
377,893,11.698296
893,377,11.698296
893,361,55.217167
361,893,55.217167
361,429,12.369307
429,361,12.369307
429,440,34.746483
440,429,34.746483
440,411,39.487404
411,440,39.487404
411,486,77.6565
486,411,77.6565
94,96,51.432995
96,94,51.432995
517,899,95.47011
899,517,95.47011
899,894,48.53255
894,899,48.53255
894,938,99.61917
938,894,99.61917
938,939,35.024956
939,938,35.024956
939,987,50.104053
987,939,50.104053
987,874,50.309307
874,987,50.309307
421,1853,80.97987
1853,421,80.97987
1853,1851,110.45706
1851,1853,110.457054
361,438,92.94696
438,361,92.94696
1732,1360,49.379036
1360,1732,49.379036
1360,1752,44.425602
1752,1360,44.425602
1752,1394,44.593845
1394,1752,44.593845
1394,1730,49.254055
1730,1394,49.254055
830,1852,83.074005
1852,830,83.074005
1852,1851,70.62756
1851,1852,70.62756
1851,118,27.655008
118,1851,27.655008
118,1137,42.464397
1137,118,42.464397
1137,1148,50.638397
1148,1137,50.638397
1148,1149,40.269867
1149,1148,40.269867
1149,1151,36.672234
1151,1149,36.672234
1151,1752,52.114445
1752,1151,52.114445
1752,891,59.491146
891,1752,59.491146
891,1733,112.13362
1733,891,112.13362
1733,1393,48.80106
1393,1733,48.80106
1393,1764,44.4347
1764,1393,44.4347
574,1800,142.06831
1800,574,142.06831
1561,448,128.22638
448,1561,128.22638
448,499,99.72556
499,448,99.725555
495,564,138.90869
564,495,138.90869
1801,1553,155.2087
1553,1801,155.20871
1553,1073,69.33865
1073,1553,69.33865
754,1553,90.97305
1553,754,90.97305
1553,1550,64.19074
1550,1553,64.19074
789,1079,76.78805
1079,789,76.78805
1079,791,56.518867
791,1079,56.518867
791,792,33.76472
792,791,33.76472
792,771,36.26624
771,792,36.26624
771,772,33.016167
772,771,33.016167
772,1231,48.203075
1231,772,48.203075
772,1590,105.36713
1590,772,105.36713
771,1075,112.7256
1075,771,112.7256
1069,792,128.77933
792,1069,128.77933
1074,791,142.05199
791,1074,142.05199
1204,1063,112.65271
1063,1204,112.65271
1063,1079,52.486843
1079,1063,52.486843
1063,1065,74.91355
1065,1063,74.91355
1034,232,424.33752
232,1034,424.3375
1202,774,343.32742
774,1202,343.32745
774,1337,250.9548
1337,774,250.9548
1337,1435,41.344963
1435,1337,41.344963
1031,774,39.22267
774,1031,39.22267
445,685,156.1412
685,445,156.14119
685,681,149.54353
681,685,149.54353
191,742,144.09134
742,191,144.09134
1186,1145,47.034313
1145,1186,47.034313
1145,1125,90.66649
1125,1145,90.66649
1145,195,127.67489
195,1145,127.67489
195,183,80.27603
183,195,80.27603
183,210,45.38294
210,183,45.38294
210,669,53.742786
669,210,53.742786
1790,366,94.04431
366,1790,94.04431
1158,1788,282.0109
1788,1158,282.01093
1788,1184,51.84668
1184,1788,51.84668
1788,1790,37.91686
1790,1788,37.91686
1790,686,125.87425
686,1790,125.87425
686,1856,53.70489
1856,686,53.70489
1252,1497,123.39546
459,1050,121.81729
1050,459,121.81729
1035,1175,91.28482
1175,1035,91.28482
1175,601,87.81104
601,1175,87.81104
1738,1426,219.60403
1426,1738,219.60403
1426,1236,33.056885
1236,1426,33.056885
1236,1837,67.45955
1837,1236,67.45955
1837,1230,15.8774185
1230,1837,15.8774185
1230,1848,457.69223
1848,1230,457.69223
1013,1738,33.898354
1738,1013,33.898354
1738,1312,404.6262
1312,1738,404.62622
1312,1301,220.49083
1301,1312,220.49083
1301,289,199.34688
289,1301,199.34688
289,1306,53.566902
1306,289,53.566902
1306,1464,82.7223
1464,1306,82.7223
1446,1306,62.58527
1306,1446,62.58527
1315,669,135.42908
669,962,75.169846
1392,1479,134.60963
1479,1392,134.60963
1479,319,77.40459
319,1479,77.40459
999,1010,9.758178
1010,1501,67.19647
1501,566,64.4258
566,512,82.33547
512,1297,56.344948
1297,517,98.95565
517,1515,67.11282
1515,179,8.259611
179,1745,184.57059
1843,1887,74.32729
1267,834,14.318054
834,1267,14.318054
826,1577,182.18593
1577,826,182.18591
1577,1522,99.25033
1522,1577,99.25033
731,732,26.360586
732,731,26.360586
732,589,99.18169
589,732,99.18168
589,826,149.13397
826,589,149.13397
826,811,22.346289
811,826,22.346289
811,1874,77.18747
1874,811,77.18747
1664,1767,95.819
1767,1664,95.819
78,953,237.83885
953,78,237.83887
953,219,131.98923
219,953,131.98923
1667,1811,117.53501
1811,1667,117.53501
1811,181,36.565136
181,1811,36.565136
181,1908,39.191124
1908,181,39.191124
1908,676,35.03637
676,